Elapsed Time,1-instances-per-model-batch-1-time-2000,1-instances-per-model-batch-3-time-2000,1-instances-per-model-batch-5-time-2000,2-instances-per-model-batch-1-time-2000,2-instances-per-model-batch-3-time-2000,2-instances-per-model-batch-5-time-2000,3-instances-per-model-batch-1-time-2000,3-instances-per-model-batch-3-time-2000,3-instances-per-model-batch-5-time-2000,4-instances-per-model-batch-1-time-2000,4-instances-per-model-batch-3-time-2000,4-instances-per-model-batch-5-time-2000
48208.0,,,,,,,3.573,,,,,
48244.0,,,,7.078,,,,,,,,
48615.0,,,,,,,,,,3.685,,
49119.0,,,,,,,3.79,,,,,
49297.0,10.748,,,,,,,,,,,
49492.0,,,,,,,,,,,,7.583
49507.0,,,,,,,,,7.513,,,
49770.0,,,,,3.676,,,,,,,
50143.0,,,,,,,,5.369,,,,
50148.0,,,,,,,3.609,,,,,
50229.0,,,,,,,,,,,5.222,
50471.0,,,10.935,,,,,,,,,
50569.0,,9.114,,,,,,,,,,
50891.0,,,,,,,3.758,,,,,
51381.0,,,,,,,,,,3.688,,
51383.0,,,,,,,,,,3.682,,
51493.0,,,,,,,,,7.396,,,
51498.0,,,,,,,,,,3.582,,
51781.0,,,,,,,3.953,,,,,
52100.0,10.607,,,,,,,,,,,
52153.0,,,,,,,,,,,,7.373
52300.0,,,,,,,,,,3.683,,
52554.0,,,,,8.722,,,,,,,
52910.0,,,,,,,3.612,,,,,
53231.0,,,,,8.045,,,,,,,
53232.0,,,,,8.044,,,,,,,
53386.0,,,,,,7.327,,,,,,
53447.0,,,,,5.777,,,,,,,
53758.0,,,,,,,3.55,,,,,
53955.0,,,9.511,,,,,,,,,
54650.0,,,,,,,3.797,,,,,
54926.0,10.237,,,,,,,,,,,
54965.0,,,,,,7.284,,,,,,
55066.0,,,,,,,,,,3.733,,
55070.0,,,,,,,,,,3.747,,
55080.0,,,,,,,,,,3.701,,
55334.0,,,,3.462,,,,,,,,
55386.0,,8.985,,,,,,,,,,
55452.0,,,,,,,,,,,7.2683333333333335,
55512.0,,,,,,,,7.534,,,,
55513.0,,,,,,,,7.533,,,,
55695.0,,,,,,9.111,,,,,,
55735.0,,,,,,,3.625,,,,,
55984.0,,,,,,,,,,3.688,,
56523.0,,,,,,,3.757,,,,,
56748.0,,,,3.584,,,,,,,,
56949.0,,,,,,,,,9.93,,,
57019.0,,,,,,,,,7.606,,,
57069.0,,,,,,,,,,,,11.674
57074.0,,,,,,,,,,,,11.669
57309.0,,,,,,,3.997,,,,,
57486.0,10.341,,,,,,,,,,,
58448.0,,,,,,,3.777,,,,,
58664.0,,,10.139,,,,,,,,,
58782.0,,,,,,,,,,3.691,,
58797.0,,,,3.481,,,,,,,,
58800.0,,,,,,,,,,3.668,,
58818.0,,,,,,,,,,3.688,,
58890.0,,,,,,,,,7.579,,,
59360.0,,,,,,,3.894,,,,,
59526.0,,,,,,,,,,,,7.475
59673.0,,,,,,,,,,3.686,,
59684.0,,9.008,,,,,,,,,,
60045.0,10.35,,,,,,,,,,,
60281.0,,,,,,,3.893,,,,,
60333.0,,,,3.345,,,,,,,,
60714.0,,,,,,7.353,,,,,,
61277.0,,,,,7.348,,,,,,,
61307.0,,,,,,,3.785,,,,,
61407.0,,,11.653,,,,,,,,,
62226.0,,,,,,,3.763,,,,,
62251.0,,,,,,13.97,,,,,,
62279.0,,,,3.472,,,,,,,,
62470.0,,,,,,,,,,3.787,,
62475.0,,,,,,,,,,3.805,,
62507.0,,,,,,,,,,3.741,,
62707.0,10.34,,,,,,,,,,,
62721.0,,,,,,,,,,,7.7844999999999995,
62722.0,,,,,,,,,,,7.784,
63048.0,,,,,,,,7.668333333333333,,,,
63254.0,,,,,,,3.683,,,,,
63360.0,,,,,,,,,,3.686,,
63467.0,,,9.593,,,,,,,,,
63679.0,,,,3.512,,,,,,,,
63759.0,,,,,,,,,,6.266500000000001,,
63760.0,,,,,,,,,,6.274,,
63761.0,,,,,,,,,,8.203,,
63765.0,,,,,,,5.578250000000001,,,,,
63978.0,,,,,,12.243,,,,,,
63979.0,,,,,,12.243,,,,,,
63980.0,,,,,,12.242,,,,,,
63981.0,,,,,,11.68,,,,,,
64056.0,15.238999999999999,,,,,,,,,,,
64057.0,17.083,,,,,,,,,,,
64175.0,,,,,,,7.574,,,,,
64371.0,,8.933,,,,,,,,,,
64374.0,,8.931,,,,,,,,,,
64808.0,,,,,,5.71,,,,,,
65093.0,,,,,,,7.577,,,,,
65165.0,21.158,,,,,,,,,,,
65752.0,,,,3.592,,,,,,,,
65989.0,,,,,,,7.603,,,,,
66247.0,,,,,,,,,,6.738,,
66257.0,,,,,,,,,,7.752,,
66280.0,,,,,,,,,,7.727,,
66469.0,,,,,,,,,12.91,,,
66880.0,,,,,,,,,12.4985,,,
66937.0,,,,,,,7.577,,,,,
67001.0,,,,,,,,,,,,12.394
67046.0,,,,,,,,,,7.881,,
67187.0,,,,,,,,,12.192,,,
67189.0,,,,,,,,,7.676,,,
67191.0,,,,,,,,,7.674,,,
